pCin/OHC14,pCymRC/Cuma,pPhlF/DAPG,pSalTTC/Sal,pLuxB/AHL,pBAD/Ara,pRhaB/Rha
0.002317,0,0,0,0.0188,0.005354,0.007257
0.000596,0,0.127065,0.00053,0.001552,0,0
0,0,0.402649,0.001126,0,0.00162,0.002254
0.000331,0.003907,1.232975,0.013177,0.009429,0.001057,0.011061
0.000397,0.033968,3.182983,0.071776,0.055825,0.002889,0.046287
0.000199,0.194008,7.192319,0.374176,0.345186,0.01085,0.147457
0.000662,0.641218,10.068465,1.326204,1.336821,0.034169,0.246301
0.034564,1.061943,10.612746,2.722066,2.765228,0.251867,0.435395
1.005396,1.393147,10.761993,4.004767,4.500877,3.088629,1.252783
3.1122,1.605165,11.141334,5.392617,5.770891,13.051148,3.633225
4.188446,1.802152,11.689389,6.759278,6.869405,15.8722,9.220304
3.602847,2.260354,13.070419,8.10826,7.793026,17.317458,12.465267